Origin,Destination,All,Night,Day,Evening
2,32,22,1,17,5
2,33,219,11,160,63
2,34,53,4,32,16
2,35,103,3,66,34
2,36,29,0,27,4
2,37,202,14,140,51
2,38,21,0,16,5
2,39,20,0,12,8
2,40,21,1,9,12
2,41,23,4,11,7
2,42,81,5,63,20
2,43,17,0,8,9
2,44,36,1,21,15
2,45,15,1,14,0
2,46,186,7,122,66
2,47,159,6,104,53
2,48,221,9,163,61
2,49,33,2,29,9
2,50,36,0,26,15
2,51,21,0,9,10
2,52,32,0,20,11
2,53,62,5,39,22
2,54,7,0,5,2
2,55,3,0,0,4
2,56,5,0,2,3
2,57,22,0,12,8
2,58,4,0,1,3
2,59,5,0,4,1
2,60,3,0,2,1
2,61,10,0,6,3
2,62,6,0,5,1
2,63,3,0,2,1
2,64,1,0,1,0
2,65,10,1,9,1
2,66,14,0,9,7
2,67,15,0,12,2
2,68,5,1,5,0
2,69,2,0,1,1
2,70,2,0,1,1
2,71,7,0,6,1
2,72,6,0,7,0
2,73,10,0,8,2
2,74,8,1,4,3
2,75,11,0,8,3
2,76,1,0,1,0
2,77,6,0,3,3
2,78,44,2,24,17
2,79,6,1,1,4
2,80,10,0,10,0
2,81,12,1,8,3
2,82,5,0,4,1
2,83,2,0,0,2
2,84,3,0,1,3
2,85,0,0,0,0
2,86,4,1,2,1
2,87,6,1,3,2
2,88,5,1,1,3
2,89,5,0,3,2
2,90,5,0,3,2
2,91,3,0,3,1
2,92,13,1,8,4
2,93,15,1,8,7
2,94,46,2,32,13
2,95,14,2,10,2
2,96,91,6,57,30
2,97,58,1,48,15
2,98,37,2,25,13
2,99,77,5,48,25
2,100,17,0,11,6
2,101,12,0,8,6
2,102,2,0,1,2
2,103,10,0,6,4
2,104,4,0,3,1
2,105,5,0,3,2
2,106,6,0,7,0
2,107,2,1,0,1
2,108,6,0,3,3
2,109,17,0,17,3
2,110,2,0,2,0
2,111,9,0,9,1
2,112,13,0,13,0
2,113,4,0,4,0
2,114,1,0,1,0
2,115,7,0,3,4
2,116,6,1,3,2
2,117,9,1,6,2
2,118,8,0,8,0
2,119,2,1,0,1
2,120,3,0,2,0
2,121,8,0,4,4
2,122,15,0,11,4
2,123,7,0,7,1
2,124,10,1,7,2
2,125,10,0,8,2
2,126,4,0,3,1
2,127,7,0,6,1
2,128,6,2,2,3
2,129,4,0,3,2
2,130,5,0,5,1
2,131,11,0,6,5
2,132,3,0,3,0
2,133,17,1,11,5
2,134,6,0,3,3
2,135,11,0,3,7
2,136,16,0,11,6
2,137,16,2,11,4
2,138,8,0,7,1
2,139,3,1,3,0
2,140,32,2,28,3
2,141,14,0,11,1
2,142,3,0,3,0
2,143,11,0,10,3
2,144,5,0,3,2
2,145,1,0,2,0
2,146,4,0,3,1
2,147,6,0,6,0
2,148,15,1,8,6
2,149,4,0,3,1
2,150,8,0,6,2
2,151,2,0,1,1
2,152,3,0,3,0
2,153,6,0,6,1
2,154,5,0,4,1
2,155,0,0,0,0
2,156,13,0,7,5
2,157,7,0,5,2
2,158,2,0,1,1
2,159,2,0,1,1
2,160,6,0,4,2
2,161,4,0,3,1
2,162,1,0,1,0
2,163,11,0,7,4
2,164,20,0,19,2
2,165,4,0,4,0
2,166,9,0,6,3
2,167,1,0,1,0
2,168,1,0,0,1
2,169,13,0,10,3
2,170,17,0,12,6
2,171,7,1,6,0
2,172,13,1,11,1
2,173,3,0,2,1
2,174,2,0,1,1
2,175,18,0,15,3
2,176,4,0,2,2
2,177,10,0,8,3
2,178,26,2,17,8
2,179,42,0,30,11
2,180,46,2,36,8
2,181,8,1,6,2
2,182,39,3,29,7
2,183,41,7,32,5
2,184,24,2,16,4
2,185,27,1,18,9
2,186,32,2,25,4
2,187,63,3,51,10
2,188,59,1,44,16
2,189,42,3,32,9
2,190,28,0,20,9
2,191,12,1,11,0
2,192,33,3,25,7
2,193,27,3,21,6
2,194,10,2,7,2
2,195,24,1,19,2
2,196,57,1,50,6
2,197,31,7,21,2
2,198,47,1,40,6
2,199,428,26,312,89
2,External,547,9,403,144
3,1,9,0,7,3
3,2,100,6,68,31
3,3,340,8,245,108
3,4,141,4,106,38
3,5,95,0,68,27
3,6,72,1,48,22
3,7,40,0,27,13
3,8,101,1,91,19
3,9,56,0,48,9
3,10,25,0,22,5
3,11,47,1,31,15
3,12,15,0,13,2
3,13,47,2,32,13
3,14,4,0,4,0
3,15,11,0,9,2
3,16,8,0,5,2
3,17,15,0,12,2
3,18,14,0,11,2
3,19,17,1,17,0
3,20,19,0,19,2
3,21,3,0,3,0
3,22,1,0,1,0
3,23,16,1,11,4
3,24,19,1,14,4
3,25,11,1,8,2
3,26,24,0,16,10
3,27,16,1,12,4
3,28,37,2,21,15
3,29,10,0,7,2
3,30,48,3,39,4
3,31,79,1,60,19
3,32,83,3,67,14
3,33,170,8,138,44
3,34,27,0,23,5
3,35,9,0,3,6
3,36,25,0,21,5
3,37,125,4,100,23
3,38,19,0,15,3
3,39,17,0,10,8
3,40,9,0,7,1
3,41,7,0,3,4
3,42,46,0,25,22
3,43,3,0,2,1
3,44,5,1,4,0
3,45,4,1,2,1
3,46,33,0,25,7
3,47,20,0,19,2
3,48,86,2,76,12
3,49,7,0,5,3
3,50,17,1,10,6
3,51,4,0,4,0
3,52,13,0,9,4
3,53,8,0,4,3
3,54,2,0,1,1
3,55,2,0,2,0
3,56,3,0,3,0
3,57,3,0,3,0
3,58,3,0,3,0
3,59,8,0,7,0
3,60,4,0,2,2
3,61,3,1,2,0
3,62,5,0,5,0
3,63,3,0,4,0
3,64,7,0,5,2
3,65,3,0,3,0
3,66,8,0,5,3
3,67,5,0,6,0
3,68,5,0,3,2
3,69,4,1,1,2
3,70,2,0,1,1
3,71,0,0,0,0
3,72,5,0,2,3
3,73,3,0,2,1
3,74,3,0,3,0
3,75,9,0,8,2
3,76,0,0,0,0
3,77,13,7,6,0
3,78,25,1,17,6
3,79,6,0,4,2
3,80,1,0,0,1
3,81,14,0,12,3
3,82,3,0,3,0
3,83,0,0,0,0
3,84,9,0,8,1
3,85,0,0,0,0
3,86,6,0,3,3
3,87,5,1,4,0
3,88,7,0,5,0
3,89,3,0,3,0
3,90,19,0,12,7
3,91,5,0,5,0
3,92,6,1,3,2
3,93,8,0,7,1
3,94,23,1,16,6
3,95,11,1,9,1
3,96,25,3,16,7
3,97,23,0,25,5
3,98,23,0,20,2
3,99,35,2,30,5
3,100,12,0,7,4
3,101,15,0,10,5
3,102,4,0,3,1
3,103,9,0,7,1
3,104,6,0,6,0
3,105,7,0,7,0
3,106,3,0,3,0
3,107,5,0,4,1
3,108,2,0,3,0
3,109,10,0,11,0
3,110,4,0,2,1
3,111,8,0,7,1
3,112,7,0,7,0
3,113,7,0,1,7
3,114,6,0,5,0
3,115,5,0,4,1
3,116,6,0,4,2
3,117,23,0,21,2
3,118,3,1,1,1
3,119,3,0,3,0
3,120,0,0,0,0
3,121,4,1,3,0
3,122,10,0,7,2
3,123,2,0,0,2
3,124,9,0,7,1
3,125,1,0,1,0
3,126,3,0,4,1
3,127,4,0,4,0
3,128,1,0,1,0
3,129,1,0,1,0
3,130,4,1,2,0
3,131,6,0,5,1
3,132,3,1,2,0
3,133,13,1,11,1
3,134,3,0,3,0
3,135,5,3,4,0
3,136,7,0,5,2
3,137,26,1,17,8
3,138,13,1,11,1
3,139,4,0,4,0
3,140,9,0,8,1
3,141,7,0,5,2
3,142,2,0,1,1
3,143,8,0,8,0
3,144,3,0,2,1
3,145,2,0,2,0
3,146,1,0,1,0
3,147,4,0,4,0
3,148,8,0,6,1
3,149,1,0,0,1
3,150,4,0,4,0
3,151,3,0,3,0
3,152,0,0,0,0
3,153,2,0,1,1
3,154,2,0,1,1
3,155,1,0,1,0
3,156,7,1,6,0
3,157,4,0,2,1
3,158,4,0,3,1
3,159,2,0,2,0
3,160,4,0,4,0
3,161,1,0,1,0
3,162,2,0,2,0
3,163,8,0,5,3
3,164,1,0,1,0
3,165,6,0,7,0
3,166,3,0,3,0
3,167,1,0,0,1
3,168,2,0,2,0
3,169,5,0,5,0
3,170,8,1,7,0
3,171,5,0,5,0
3,172,0,0,0,0
3,173,1,0,0,1
3,174,1,1,0,0
3,175,9,0,9,0
3,176,6,0,5,1
3,177,3,0,2,1
3,178,10,0,9,2
3,179,18,0,15,3
3,180,31,2,26,3
3,181,7,0,7,1
3,182,16,0,18,0
3,183,15,3,8,5
3,184,24,0,19,5
3,185,8,0,7,2
3,186,7,0,7,0
3,187,32,0,33,2
3,188,21,1,18,4
3,189,22,1,18,4
3,190,9,0,4,5
3,191,6,0,6,1
3,192,11,1,6,7
3,193,18,0,19,5
3,194,2,0,1,1
3,195,15,2,9,5
3,196,12,1,9,1
3,197,32,6,25,1
3,198,22,1,15,6
3,199,115,6,71,35
3,External,403,7,351,50
4,1,14,0,14,1
4,2,138,7,103,35
4,3,159,2,126,44
4,4,197,6,146,53
4,5,120,2,95,22
4,6,89,2,63,27
4,7,96,2,74,20
4,8,24,0,16,8
4,9,16,0,17,1
4,10,11,1,8,3
4,11,25,1,20,4
4,12,10,2,7,1
4,13,32,4,20,9
4,14,4,0,4,1
4,15,10,1,9,1
4,16,7,1,5,1
4,17,4,0,2,2
4,18,8,1,6,1
4,19,13,0,11,3
4,20,13,1,12,0
4,21,14,0,13,1
4,22,2,0,2,0
4,23,6,1,5,1
4,24,5,1,3,0
4,25,7,1,5,0
4,26,6,0,4,2
4,27,6,0,4,1
4,28,10,0,8,4
4,29,7,0,5,1
4,30,51,0,41,11
4,31,36,1,31,6
4,32,24,1,21,3
4,33,62,2,46,17
4,34,10,1,7,2
4,35,24,1,21,2
4,36,14,0,13,1
4,37,44,1,33,10
4,38,6,0,6,0
4,39,10,1,9,1
4,40,5,0,2,3
4,41,1,0,1,0
4,42,16,0,12,4
4,43,5,0,2,3
4,44,18,0,18,0
4,45,2,0,2,0
4,46,29,1,19,8
4,47,28,0,22,6
4,48,135,7,100,32
4,49,15,1,13,2
4,50,23,0,18,6
4,51,4,0,5,0
4,52,17,0,14,3
4,53,13,0,10,3
4,54,0,0,0,0
4,55,1,0,1,0
4,56,4,0,4,0
4,57,3,0,1,2
4,58,1,0,1,0
4,59,3,0,1,2
4,60,6,0,7,0
4,61,5,0,4,0
4,62,0,0,0,0
4,63,0,0,0,0
4,64,0,0,0,0
4,65,3,0,3,1
4,66,4,0,4,1
4,67,6,0,6,0
4,68,2,0,2,0
4,69,6,0,6,0
4,70,0,0,0,0
4,71,0,0,0,0
4,72,1,1,0,0
4,73,2,0,2,0
4,74,2,0,2,0
4,75,7,0,5,1
4,76,1,0,0,1
4,77,11,5,6,0
4,78,23,0,18,5
4,79,2,0,2,0
4,80,7,0,7,0
4,81,8,3,5,2
4,82,7,1,5,1
4,83,1,0,1,0
4,84,5,0,4,1
4,85,1,0,0,1
4,86,1,0,1,0
4,87,1,0,1,0
4,88,2,0,1,1
4,89,5,0,5,0
4,90,3,0,3,0
4,91,5,0,5,0
4,92,7,0,1,6
4,93,8,0,5,3
4,94,27,1,22,2
4,95,10,0,10,1
4,96,43,1,31,10
4,97,21,1,20,3
4,98,13,1,13,4
4,99,63,2,47,21
4,100,18,0,16,2
4,101,20,2,13,5
4,102,1,0,1,0
4,103,13,0,13,1
4,104,8,0,4,3
4,105,7,0,3,4
4,106,9,0,8,1
4,107,2,0,1,1
4,108,6,0,4,2
4,109,5,0,3,2
4,110,4,1,3,0
4,111,6,0,3,2
4,112,5,0,5,0
4,113,3,1,2,0
4,114,3,0,2,1
4,115,2,1,1,0
4,116,4,0,1,3
4,117,3,0,3,1
4,118,2,0,2,0
4,119,0,0,0,0
4,120,1,0,1,0
4,121,8,0,5,3
4,122,4,0,4,0
4,123,5,0,4,1
4,124,5,1,1,3
4,125,10,0,9,1
4,126,4,0,3,1
4,127,4,0,4,0
4,128,3,0,3,0
4,129,2,0,2,0
4,130,0,0,0,0
4,131,7,0,7,0
4,132,4,0,3,1
4,133,10,2,4,3
4,134,8,0,5,3
4,135,4,1,2,1
4,136,12,0,7,4
4,137,27,1,24,2
4,138,4,1,2,1
4,139,4,0,2,2
4,140,16,1,15,3
4,141,10,1,6,3
4,142,4,0,4,0
4,143,2,0,0,2
4,144,2,0,2,0
4,145,5,0,4,1
4,146,4,0,4,0
4,147,0,0,0,0
4,148,8,0,6,1
4,149,6,1,5,0
4,150,4,0,4,0
4,151,3,0,3,0
4,152,0,0,0,0
4,153,3,0,4,0
4,154,1,0,1,0
4,155,0,0,0,0
4,156,6,0,5,1
4,157,2,0,2,0
4,158,7,0,4,2
4,159,2,0,1,1
4,160,18,0,18,1
4,161,3,0,2,1
4,162,2,0,2,1
4,163,3,0,2,1
4,164,5,0,5,1
4,165,8,0,8,0
4,166,5,0,4,1
4,167,3,0,2,1
4,168,0,0,0,0
4,169,3,0,3,0
4,170,14,0,11,4
4,171,18,0,17,1
4,172,4,0,4,0
4,173,0,0,0,0
4,174,1,0,1,0
4,175,12,0,7,4
4,176,5,0,4,1
4,177,12,1,9,1
4,178,15,2,12,2
4,179,36,2,27,6
4,180,44,1,33,10
4,181,23,0,19,3
4,182,32,1,28,2
4,183,16,0,14,2
4,184,28,3,18,5
4,185,16,1,12,4
4,186,19,0,16,2
4,187,21,0,17,5
4,188,30,3,24,5
4,189,44,2,35,9
4,190,20,1,18,3
4,191,16,2,14,3
4,192,24,0,24,3
4,193,21,4,24,3
4,194,9,1,7,1
4,195,19,0,18,4
4,196,20,1,14,5
4,197,58,2,51,5
