,Trips possible,Total travel time,Mean Travel time,Available paths,Unavailable paths,Trips impossible,Trips total,Nodes,Isolated nodes,Mean travel time (id. set)
44,1630934.0807645598,1156111379.5919538,708.8645661570727,5102003,1590566,417913.9192413854,2048848,2587,46,486.33314630802806
54,1595542.2276497819,1392150015.4011114,872.5247074480346,4873833,1818736,453305.7723553866,2048848,2587,54,486.14194646701395
71,1582734.3439886286,1393595768.6169868,880.4988492920447,4807291,1885278,466113.6560161725,2048848,2587,60,486.16252449250703
86,1569241.9266271696,1672146417.0665035,1065.575924714496,4747833,1944736,479606.0733773233,2048848,2587,65,486.29176192666756
20,1767732.7686131573,1085199775.573524,613.8935674224662,5814948,877621,281115.23139510775,2048848,2587,31,488.83846602896455
198,1487353.7571916468,1612848100.9343874,1084.374240583957,4371129,2321440,561494.2428118862,2048848,2587,100,486.4185173429239
