,Trips possible,Total travel time,Mean Travel time,Available paths,Unavailable paths,Trips impossible,Trips total,Nodes,Isolated nodes,Edges,Mean travel time (id. set)
0,1398892.0119092022,609489146.8327283,435.6942077329471,6505175,187394,38606.98809850461,1437499,2587,0,5509,435.6942077329471
44,1153487.969737124,757350649.7200019,656.574380999049,5102003,1590566,284011.0302674924,1437499,2587,46,5016,426.68517862917236
54,1124087.2541012806,912929856.4768604,812.1521288903479,4873833,1818736,313411.7459021328,1437499,2587,54,4981,425.9436011758806
71,1112923.1773669661,913424140.1323785,820.7432091525159,4807291,1885278,324575.82263593544,1437499,2587,60,4955,425.84663263322886
86,1101539.1670895081,1151004323.7761214,1044.9054905758007,4747833,1944736,335959.83291328076,1437499,2587,65,4928,425.7737979068442
20,1272664.0192480132,722983179.4303931,568.0864458300523,5814948,877621,164834.9807589398,1437499,2587,31,5145,431.2028299192412
198,1031837.7175507614,1098165133.0888433,1064.2808596835566,4371129,2321440,405661.2824504731,1437499,2587,100,4825,424.1793754160813
