u,v,key,name,highway,ZMax44mm,ZMax54mm,ZMax71mm,ZMax86mm,ZMax20mm,ZMax198mm,flooded
1210,1211,0,Hämeenlinnanväylä,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
1210,1212,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
16,515,0,Hämeenlinnanväylä,trunk,0.0,0.0,0.0,0.0,0.0,0.039600546938786,
515,1107,0,Hämeenlinnanväylä,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
515,1402,0,,trunk_link,0.0,0.019662825226305,0.10942126495266101,0.18662227374935197,0.0,,198
17,585,0,Kehä I,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
17,584,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
585,18,0,Kehä I,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
584,1493,0,Vihdintie,primary,0.0,0.0,0.0,0.0,0.0,0.0,
584,212,0,Vihdintie,primary,,,,,,,20
584,585,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
18,1977,0,Kehä I,trunk,,,,,0.26198792457580605,,44
1977,253,0,,trunk_link,0.091400146484375,0.091400146484375,0.091400146484375,0.091400146484375,0.091400146484375,,198
1977,1762,0,Kehä I,trunk,,,,,,,20
25,111,0,Huopalahdentie,primary,0.0,0.0,0.0,0.0,0.0,0.0,
25,19,0,Huopalahdentie,primary,0.063404013445423,0.063404013445423,0.063404013445423,0.063404013445423,0.063404013445423,0.063404013445423,
178,177,0,Laajalahdentie,tertiary,0.003963947296143,0.003963947296143,0.003963947296143,0.003963947296143,0.003963947296143,0.003963947296143,
178,180,0,Laajalahdentie,tertiary,0.025672077664127,0.025672077664127,0.025672077664127,0.025672077664127,0.0012892819941039998,0.025672077664127,
100,2303,0,Paciuksenkatu,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
100,19,0,Paciuksenkatu,primary,,,,,0.24002954493873802,,44
100,168,0,Tukholmankatu,primary,0.0,0.0,0.0,0.0,0.0,0.0,
20,1249,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.124664597836335,
20,341,0,Tuusulanväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
1249,1250,0,Vanha Tuusulantie,secondary,0.097130319308239,0.097130319308239,0.097130319308239,0.097130319308239,0.097130319308239,0.097130319308239,
1249,1480,0,Yhdyskunnantie,secondary,,,,,,,20
1249,1431,0,"['Yhdyskunnantie', 'Siltavoudintie']",secondary,0.07485786497661599,0.07485786497661599,0.07485786497661599,0.07485786497661599,0.07485786497661599,0.07485786497661599,
341,1019,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
341,793,0,Tuusulanväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
21,20,0,Tuusulanväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
22,794,0,Tuusulanväylä,motorway,0.15301141846098001,0.19522789823927,0.25596739531301,,0.05977028608322099,,86
22,1437,0,,motorway_link,0.0,0.0,0.014979496598244,0.060013583478828,0.0,0.18743778433998604,
794,1735,0,Tuusulanväylä,motorway,0.096176444652742,0.096176444652742,0.096176444652742,0.096176444652742,0.096176444652742,0.096176444652742,
1437,1436,0,,motorway_link,0.06972582251000299,0.06972582251000299,0.06972582251000299,0.06972582251000299,0.0,0.06972582251000299,
1437,1728,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.027044612157868998,
23,1701,0,Mannerheimintie,primary,0.035998796270102995,0.035998796270102995,0.035998796270102995,0.035998796270102995,0.035998796270102995,0.035998796270102995,
23,1563,0,Korppaanmäentie,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,
23,300,0,Mannerheimintie,primary,0.030155312681266006,0.030155312681266006,0.030155312681266006,0.030155312681266006,0.030155312681266006,0.030155312681266006,
1701,298,0,Mannerheimintie,primary,0.027036666870117,0.027036666870117,0.027036666870117,0.027036666870117,0.027036666870117,0.027036666870117,
1701,2142,0,,primary_link,0.0,0.0,0.0,0.0,0.0,0.0,
