,Trips possible,Total travel time,Mean Travel time,Available paths,Unavailable paths,Trips impossible,Trips total,Nodes,Isolated nodes,Edges,Mean travel time (id. set)
0,1398892.0119092022,609489146.8327283,435.6942077329471,6505175,187394,38606.98809850461,1437499,2587,0,5509,435.6942077329471
44,1153487.969737124,754775325.3198043,654.3417401152568,5102003,1590566,284011.0302674924,1437499,2587,46,5016,426.68517862917236
54,1124087.2541012806,909488512.7056574,809.0906727990639,4873833,1818736,313411.7459021328,1437499,2587,54,4981,425.9436011758806
71,1112923.1773669664,909336170.3910524,817.0700268300865,4807291,1885278,324575.82263593544,1437499,2587,60,4955,425.84663263322886
86,1101539.1670895084,1146529975.424736,1040.843584757955,4747833,1944736,335959.83291328076,1437499,2587,65,4928,425.7737979068442
20,1272664.0192480132,720092335.9498217,565.8149559184577,5814948,877621,164834.9807589398,1437499,2587,31,5145,431.2028299192412
198,1031837.7175507614,1093227548.7295191,1059.4956262351766,4371129,2321440,405661.2824504731,1437499,2587,100,4825,424.1793754160813
