,Trips possible,Total travel time,Mean Travel time,Available paths,Unavailable paths,Trips impossible,Trips total,Nodes,Isolated nodes,Edges,Mean travel time (id. set)
0,1911281.2509162747,939415372.5317025,491.51079783854084,6505175,187394,137566.74909386475,2048848,2587,0,5509,491.51079783854084
44,1630934.0807645596,1159744172.460216,711.0919969963126,5102003,1590566,417913.9192413854,2048848,2587,46,5016,486.33314630802806
54,1595542.2276497819,1396854193.6987808,875.4730332373173,4873833,1818736,453305.7723553866,2048848,2587,54,4981,486.14194646701395
71,1582734.3439886284,1399224387.55447,884.0551118820754,4807291,1885278,466113.6560161725,2048848,2587,60,4955,486.16252449250703
86,1569241.9266271696,1678142044.4687662,1069.3966405012259,4747833,1944736,479606.0733773233,2048848,2587,65,4928,486.29176192666756
20,1767732.768613157,1089080094.5910592,616.0886497824428,5814948,877621,281115.23139510775,2048848,2587,31,5145,488.83846602896455
198,1487353.7571916466,1619468497.5764294,1088.8253650121783,4371129,2321440,561494.2428118862,2048848,2587,100,4825,486.4185173429239
